هنا ; Here
2. كام ساعة عندك؟ ; How many watches do you have?
3. كام كتاب تقرأه؟ ; How many books do you read?

درس ; Lesson
1. كيف كان درس اليوم؟ ; How was today's lesson?
2. هل لديك درس الغد؟ ; Do you have a lesson tomorrow?
3. الدرس كان ممتعًا جدًا ; The lesson was very enjoyable.

بدرس ; I study (slang)
1. بدرس في الجامعة ; I study at the university.
2. بدرس لاجتياز الامتحان ; I study to pass the exam.
3. بدرس عن التاريخ ; I study about history.

جامع ; Mosque
1. هذا جامع كبير ; This is a big mosque.
2. الجامع هو مكان للصلاة ; The mosque is a place for prayer.
3. أحب أن أذهب إلى الجامع يوم الجمعة ; I like to go to the mosque on Fridays.

جامعة ; University
1. أنا طالب في الجامعة ; I am a student at the university.
2. الجامعة تقدم تعليم عالي الجودة ; The university provides high-quality education.
3. هل تدرس في الجامعة؟ ; Do you study at the university?

مصر ; Egypt
1. أنا من مصر ; I am from Egypt.
2. مصر هي دولة جميلة ; Egypt is a beautiful country.
3. مصر لديها تاريخ طويل وعريق ; Egypt has a long and rich history.

مصرية ; Egyptian (feminine)
1. هي مصرية ; She is Egyptian.
2. المرأة المصرية قوية ; The Egyptian woman is strong.
3. الثقافة المصرية غنية ومتنوعة ; Egyptian culture is rich and diverse.

جيب ; Get
1. هل يمكنك جلب لي الماء؟ ; Can you get me some water?
2. أحتاجك لتجلب لي الطعام ; I need you to get me food.
3. هل جلبت مفتاح السيارة؟ ; Did you get the car key?

أجيب ; I get (slang)
1. أجيب الخضار من السوق ; I get vegetables from the market.
2. أجيب الفطور كل صباح ; I get breakfast every morning.
3. أجيب المعلومات من الإنترنت ; I get information from the internet.

سعر ; Price
1. كم سعر هذا المنتج؟ ; What is the price of this product?
2. السعر معقول ; The price is reasonable.
3. السعر قد يتغير ; The price may change.

أتوبيس ; Bus
1. أريد أن أركب الأتوبيس ; I want to take the bus.
2. هل يمكنني معرفة مواعيد الأتوبيس؟ ; Can I know the bus schedule?
3. الأتوبيس مزدحم في هذا الوقت ; The bus is crowded at this time.

الأتوبيس ; The bus
1. الأتوبيس قد وصل ; The bus has arrived.
2. يجب أن نأخذ الأتوبيس ; We should take the bus.
3. هل الأتوبيس متاح الآن؟ ; Is the bus available now?

يروح ; He goes
1. يروح إلى المدرسة يوميًا ; He goes to school every day.
2. يروح إلى العمل في السيارة ; He goes to work by car.
3. يروح إلى الصالة الرياضية كل صباح ; He goes to the gym every morning.

بيروح ; He goes (slang)
1. بيروح إلى الجامعة ; He goes to the university.
2. بيروح إلى العمل بالقطار ; He goes to work by train.
3. بيروح إلى المكتبة يوم الأحد ; He goes to the library on Sundays.

مت ; Dead
1. الزهرة ماتت ; The flower is dead.
2. هل هذا الحيوان مت؟ ; Is this animal dead?
3. الأمل ليس ماتًا ; Hope is not dead.

نمت ; I slept
1. نمت طوال الليل ; I slept all night.
2. نمت في الغرفة الكبيرة ; I slept in the big room.
3. لم أنم الليلة الماضية ; I didn't sleep last night.

تاكل ; You eat
1. ماذا تأكل للغداء؟ ; What do you eat for lunch?
2. هل تأكل الفواكه يوميًا؟ ; Do you eat fruits every day?
3. أحب أن أأكل البيتزا ; I love to eat pizza.

ده ; This
1. هذا هو المنزل الجديد ; This is the new house.
2. هل تعرف هذا الرجل؟ ; Do you know this man?
3. هذا كتابي المفضل ; This is my favorite book.

عايزين ; We want (slang)
1. عايزين شاي ; We want tea.
2. عايزين نذهب للمطعم ; We want to go to the restaurant.
3. عايزين نتعلم شيئًا جديدًا ; We want to learn something new.

تغدى ; You have lunch
1. هل تغدى معي؟ ; Will you have lunch with me?
2. هل ستغدى في المدرسة؟ ; Will you have lunch at school?
3. أحب تغدية البيتزا ; I love having pizza for lunch.

نتغدى ; We have lunch (slang)
1. نتغدى في المقهى ; We have lunch at the café.
2. نتغدى في المدرسة ; We have lunch at school.
3. نتغدى مع الأصدقاء ; We have lunch with friends.

إن ; If
1. إن كنت مستعدًا، سنذهب الآن ; If you're ready, we'll go now.
2. إن كنت تحب الشوكولاتة، هذا لك ; If you like chocolate, this is for you.
3. إن لديك أي أسئلة، فلا تتردد في طرحها ; If you have any questions, feel free to ask.

إنت ; You (slang)
1. إنت عامل إيه؟ ; What are you doing?
2. إنت حالك إيه؟ ; How are you?
3. إنت بتروح فين؟ ; Where are you going?

جوع ; Hunger
1. الجوع يؤلم ; Hunger hurts.
2. لدي جوع شديد ; I am very hungry.
3. هل يمكنك مساعدتي في تخفيف الجوع؟ ; Can you help me relieve hunger?

جوعان ; Hungry (slang)
1. أنا جوعان ; I'm hungry.
2. بقدر أجيب لي شيء لأكل؟ ; Can I get something to eat?
3. متى نذهب لتناول الطعام؟ ; When do we go for food?

خل ; Leave
1. سأخرج من المكتب قريبًا ; I will leave the office soon.
2. يجب عليك أن تترك هذا المكان ; You should leave this place.
3. هل يمكنك أن تخبرني عندما تخرج؟ ; Can you inform me when you leave?

تخليني ; You leave me
1. لا تتخليني ; Don't leave me.
2. هل ستتخليني عني؟ ; Will you leave me?
3. تخليني وحيدًا ; You leave me alone.

نزل ; He goes down
1. هل سينزل الجبل؟ ; Will he go down the mountain?
2. أريد أن أنزل الدرج ; I want to go down the stairs.
3. هل يمكنني أن أنزل النافذة؟ ; Can I lower the window?

أنزل ; I go down (slang)
1. أنزل الدرج ببطء ; I go down the stairs slowly.
2. عندما أنزل الشارع، سأشتري طعامًا ; When I go down the street, I will buy food.
3. أنزل الصوت، من فضلك ; Lower the volume, please.

وقف ; Stop
1. يجب عليك أن توقف السيارة ; You must stop the car.
2. الحافلة ستوقف هنا ; The bus will stop here.
3. هل يمكنك التوقف لحظة؟ ; Can you stop for a moment?

توقف ; You stop
1. يجب أن تتوقف هنا ; You must stop here.
2. توقف هذا الضوضاء! ; Stop this noise!
3. هل يمكنك توقف السيارة؟ ; Can you stop the car?

عني ; About me
1. أنا لا أحب الحديث عني ; I don't like talking about myself.
2. هل تعرف شيئًا عني؟ ; Do you know anything about me?
3. أنا لا أتحدث عني كثيرًا ; I don't talk about myself much.

يعني ; It means
1. ماذا تعني هذه الكلمة؟ ; What does this word mean?
2. إنه يعني الكثير بالنسبة لي ; It means a lot to me.
3. لا أعرف ماذا تعني ; I don't know what it means.

عربي ; Arab (masculine)
1. أنا عربي ; I am Arab.
2. الثقافة العربية غنية ومتنوعة ; Arab culture is rich and diverse.
3. يتحدث العربية بطلاقة ; He speaks Arabic fluently.

مفهمتش ; I didn't understand (slang)
1. مفهمتش ما قلته ; I didn't understand what you said.
2. مفهمتش هذا الدرس ; I didn't understand this lesson.
3. مفهمتش الموقف ; I didn't understand the situation.

عاجب ; Like
1. هذا المكان عاجبني ; I like this place.
2. الأفلام الكوميدية عاجبة الجميع ; Comedy movies are liked by everyone.
3. ماذا عاجبك في هذا الفنان؟ ; What do you like about this artist?

عاجبني ; I like (slang)
1. عاجبني هذا الألبوم ; I like this album.
2. عاجبني الفيلم كثيرًا ; I really like the movie.
3. عاجبني هذا اللون ; I like this color.

موسيق ; Music
1. أحب أن أستمع إلى الموسيقى ; I love to listen to music.
2. الموسيقى هي لغة العواطف ; Music is the language of emotions.
3. هل تعزف الموسيقى؟ ; Do you play music?

موسيقاك ; Your music
1. هل يمكنني سماع موسيقاك؟ ; Can I listen to your music?
2. أنا معجب بموسيقاك ; I am a fan of your music.
3. كيف يمكنني الحصول على موسيقاك؟ ; How can I get your music?

مقبول ; Acceptable
1. هذا الاقتراح مقبول ; This proposal is acceptable.
2. السعر مقبول جدًا ; The price is very acceptable.
3. السلوك غير الملائم غير مقبول ; Inappropriate behavior is not acceptable.

مقبولة ; Acceptable (feminine)
1. هذه الفكرة مقبولة ; This idea is acceptable.
2. المظهر العام مقبول ; The overall appearance is acceptable.
3. الجودة المقدمة مقبولة جدًا ; The quality provided is very acceptable.

هنزل ; I will go down (slang)
1. هنزل السلم ; I will go down the stairs.
2. هنزل الشارع ; I will go down the street.
3. هنزل الصوت ; I will lower the volume.

عندي ; I have
1. عندي موعد في الساعة الثالثة ; I have an appointment at 3 o'clock.
2. عندي الكثير من الأصدقاء ; I have many friends.
3. عندي فكرة جيدة ; I have a good idea.

شغلت ; I turned on (slang)
1. شغلت التلفزيون ; I turned on the TV.
2. شغلت الموسيقى ; I turned on the music.
3. شغلت الضوء ; I turned on the light.

زا ; Very (slang)
1. الجو حار زا ; The weather is very hot.
2. هذا الطعام لذيذ زا ; This food is very delicious.
3. هذا الفيلم ممتع زا ; This movie is very enjoyable.

مقبولة ; Acceptable (feminine)
1. هذه الفكرة مقبولة ; This idea is acceptable.
2. المظهر العام مقبول ; The overall appearance is acceptable.
3. الجودة المقدمة مقبولة جدًا ; The quality provided is very acceptable.

متأكد ; Sure
1. أنا متأكد من ذلك ; I am sure about that.
2. هل أنت متأكد من الجواب؟ ; Are you sure about the answer?
3. يجب أن نكون متأكدين من الخطة ; We must be sure about the plan.

لي ; For me
1. هذا هو أفضل كتاب على الإطلاق بالنسبة لي ; This is the best book ever for me.
2. هل يمكنك القيام بهذا لأجلي؟ ; Can you do this for me?
3. هذا مهم لي جدًا ; This is very important for me.

موسيقى ; Music
1. الموسيقى تعبر عن المشاعر ; Music expresses emotions.
2. هل تستمع إلى الموسيقى؟ ; Do you listen to music?
3. أنا محب للموسيقى ; I am a music lover.

جميل ; Beautiful
1. هذا المكان جميل جدًا ; This place is very beautiful.
2. هذه اللوحة جميلة ; This painting is beautiful.
3. الشمس غروب جميل ; The sunset is beautiful.

جميلة ; Beautiful (feminine)
1. هذه الفتاة جميلة ; This girl is beautiful.
2. الطبيعة جميلة جدًا ; Nature is very beautiful.
3. هذا الزهر جميلة ; This flower is beautiful.

تزعلش ; Don't be upset (slang)
1. تزعلش بسرعة ; Don't be upset quickly.
2. تزعلش من هذا ; Don't be upset about this.
3. تزعلش من الأشياء الصغيرة ; Don't be upset about small things.

شغلت ; I turned on (slang)
1. شغلت التلفزيون ; I turned on the TV.
2. شغلت الموسيقى ; I turned on the music.
3. شغلت الضوء ; I turned on the light.

زا ; Very (slang)
1. الجو حار زا ; The weather is very hot.
2. هذا الطعام لذيذ زا ; This food is very delicious.
3. هذا الفيلم ممتع زا ; This movie is very enjoyable.

مقبولة ; Acceptable (feminine)
1. هذه الفكرة مقبولة ; This idea is acceptable.
2. المظهر العام مقبول ; The overall appearance is acceptable.
3. الجودة المقدمة مقبولة جدًا ; The quality provided is very acceptable.

متأكد ; Sure
1. أنا متأكد من ذلك ; I am sure about that.
2. هل أنت متأكد من الجواب؟ ; Are you sure about the answer?
3. يجب أن نكون متأكدين من الخطة ; We must be sure about the plan.

لي ; For me
1. هذا هو أفضل كتاب على الإطلاق بالنسبة لي ; This is the best book ever for me.
2. هل يمكنك القيام بهذا لأجلي؟ ; Can you do this for me?
3. هذا مهم لي جدًا ; This is very important for me.

تقصد ; You mean
1. ماذا تقصد بهذا؟ ; What do you mean by this?
2. هل تقصد أنك لا تعرف؟ ; Do you mean you don't know?
3. تقصد أنك ستأتي غدًا؟ ; Do you mean you will come tomorrow?

بتقصده ; You mean (slang)
1. بتقصده أنك لا تهتم؟ ; Do you mean you don't care?
2. بتقصده أنها ليست مشكلة؟ ; Do you mean it's not a problem?
3. بتقصده أنك ستترك؟ ; Do you mean you will leave?

آسف ; Sorry
1. آسف إذا جرحت مشاعرك ; I'm sorry if I hurt your feelings.
2. آسف على التأخير ; Sorry for the delay.
3. آسف لا يكفي ; Sorry is not enough.

مشوش ; Noisy
1. هذا المكان مشوش جدًا ; This place is very noisy.
2. الصوت مشوش ; The sound is noisy.
3. الأطفال يجعلون البيت مشوشًا ; Children make the house noisy.

جيدة ; Good (feminine)
1. هذه الكتب جيدة جدًا ; These books are very good.
2. هذه الطعام جيدة ; This food is good.
3. هل هذه الفكرة جيدة؟ ; Is this idea good?

دور ; Turn (slang)
1. دور الزر ; Turn the button.
2. دور الصفحة ; Turn the page.
3. دور يسارًا ; Turn left.

دورة ; Course
1. أنا أدرس دورة في اللغة الإنجليزية ; I am taking a course in English.
2. هل تفضل دورة معينة؟ ; Do you prefer a specific course?
3. دورة السباحة تبدأ في الصيف ; The swimming course starts in the summer.

رر ; Repeat
1. يجب عليك أن تكرر هذا الدرس ; You must repeat this lesson.
2. هل يمكنك تكرار هذا؟ ; Can you repeat this?
3. يمكنني تكرار الأرقام ; I can repeat the numbers.

إزاي ; How (slang)
1. إزاي تعرف هذا؟ ; How do you know this?
2. إزاي تفعل ذلك؟ ; How do you do that?
3. إزاي يمكنني الوصول إلى المطار؟ ; How can I get to the airport?

رجم ; Translate (slang)
1. هل يمكنك أن ترجم هذه الجملة؟ ; Can you translate this sentence?
2. سأحاول أن أرجم هذا النص ; I will try to translate this text.
3. كيف يمكنني ترجمة هذا الكتاب؟ ; How can I translate this book?

أترجم ; I translate (slang)
1. أترجم الكتب من الإنجليزية إلى العربية ; I translate books from English to Arabic.
2. أحب أن أترجم الشعر ; I love to translate poetry.
3. هل يمكنني أن أترجم هذا المقال؟ ; Can I translate this article?

معنى ; Meaning
1. ما هو المعنى الصحيح لهذه الكلمة؟ ; What is the correct meaning of this word?
2. لدي معنى مختلف ; I have a different meaning.
3. هل يمكنك شرح المعنى؟ ; Can you explain the meaning?

(المطعم) ; The restaurant (slang)
1. (المطعم) يقدم أفضل الأطعمة ; (The restaurant) serves the best food.
2. (المطعم) مكان رائع لتناول العشاء ; (The restaurant) is a great place for dinner.
3. (المطعم) مشهور بأطباقه اللذيذة ; (The restaurant) is famous for its delicious dishes.

الـ ; The (slang)
1. الـ كتاب هذا جميل ; The book is beautiful.
2. الـ مسرح رائع ; The theater is amazing.
3. الـ مطعم هنا شهير ; The restaurant here is famous.

(الطعام) ; The food (slang)
1. (الطعام) هنا لذيذ ; (The food) here is delicious.
2. (الطعام) في هذا المكان جيد ; (The food) at this place is good.
3. (الطعام) في المطعم رائع ; (The food) at the restaurant is amazing.

معمول ; Made (slang)
1. هذا المنتج معمول في مصر ; This product is made in Egypt.
2. معمول يدويًا ; Handmade.
3. هل تعرف من أين هذا معمول؟ ; Do you know where this is made?

حم ; Meat (slang)
1. أحب اللحم ; I love meat.
2. هل يمكنني الحصول على لحم؟ ; Can I get some meat?
3. اللحم لذيذ جدًا ; The meat is very delicious.

لحم ; Meat
1. أحب اللحم ; I love meat.
2. هل يمكنني الحصول على لحم؟ ; Can I get some meat?
3. اللحم لذيذ جدًا ; The meat is very delicious.

ممكن ; Possible
1. هل هذا ممكن؟ ; Is this possible?
2. ما هي الأمور الممكنة؟ ; What are the possible options?
3. كل شيء ممكن ; Everything is possible.

شا ; Tea
1. هل تريد شايًا؟ ; Do you want some tea?
2. الشاي يساعد على الاسترخاء ; Tea helps to relax.
3. أحب أن أشرب شايًا بالنعناع ; I like to drink mint tea.

شاي ; Tea
1. هل تريد شايًا؟ ; Do you want some tea?
2. الشاي يساعد على الاسترخاء ; Tea helps to relax.
3. أحب أن أشرب شايًا بالنعناع ; I like to drink mint tea.

سود ; Black
1. هل تحب القهوة السوداء؟ ; Do you like black coffee?
2. الفستان أسود ; The dress is black.
3. القمر لامع في السماء السوداء ; The moon shines in the black sky.

أسود ; Black (masculine)
1. هذا هو اللون الأسود ; This is the color black.
2. السيارة لونها أسود ; The car is black in color.
3. الكلب لونه أسود ; The dog is black.

نعناع ; Mint
1. النعناع يضيف نكهة منعشة ; Mint adds a refreshing flavor.
2. الشاي بالنعناع لذيذ ; Mint tea is delicious.
3. هل لديك نعناع؟ ; Do you have mint?

بالنعناع ; With mint
1. هل يمكنني الحصول على شاي بالنعناع؟ ; Can I get tea with mint?
2. هذا المشروب معد بالنعناع ; This drink is prepared with mint.
3. أحب الشاي بالنعناع ; I like tea with mint.

اتشبع ; I am full (slang)
1. اتشبعت من الطعام ; I am full from the food.
2. اتشبعت بسرعة ; I got full quickly.
3. لا يمكنني تناول المزيد، اتشبعت ; I can't eat more, I am full.

اتشبعت ; I am full (feminine, slang)
1. اتشبعت من الوجبة ; I am full from the meal.
2. اتشبعت بسرعة ; I got full quickly.
3. لا يمكنني تناول المزيد، اتشبعت ; I can't eat more, I am full.

فعل ; Verb
1. الفعل يمكن أن يكون قويًا ; The verb can be strong.
2. كيف تعرف الفعل؟ ; How do you know the verb?
3. هذا فعل صعب ; This is a difficult verb.

بالفعل ; Indeed
1. بالفعل، هذا صحيح ; Indeed, that is true.
2. هل تعتقد بالفعل أنه سيحدث؟ ; Do you really believe it will happen?
3. بالفعل، هذا مثير للاهتمام ; Indeed, that is interesting.

ناخد ; We take (slang)
1. ناخد الحافلة ; We take the bus.
2. ناخد القهوة ; We take coffee.
3. ناخد القرار ; We take the decision.

غدا ; Tomorrow
1. سنلتقي غدًا ; We will meet tomorrow.
2. غدًا سيكون يومًا مشمسًا ; Tomorrow will be a sunny day.
3. غدًا هو يوم العطلة ; Tomorrow is a holiday.

قدمل ; I present to you (slang)
1. قدملك هذا الهدية ; I present to you this gift.
2. قدملهم الخطة ; I present to them the plan.
3. قدملي المشروع ; I present to me the project.

أقدملك ; I present to you (slang)
1. أقدملك هذا الهدية ; I present to you this gift.
2. أقدملك الشكر ; I present to you my thanks.
3. أقدملك فرصة جديدة ; I present to you a new opportunity.

جديد ; New
1. هذا الهاتف جديد ; This phone is new.
2. هل لديكم منتجات جديدة؟ ; Do you have new products?
3. هذا المشروع جديد ومثير ; This project is new and exciting.

الجديدة ; New (feminine)
1. هذه السيارة الجديدة ; This is the new car.
2. الفرص الجديدة تأتي دائمًا ; New opportunities always come.
3. الجديدة لها تصميم جميل ; The new one has a beautiful design.

عب ; Tired (slang)
1. أنا عب ; I am tired.
2. عبت من العمل ; I got tired from work.
3. هل يمكنني الجلوس للراحة؟ أنا عب ; Can I sit down to rest? I am tired.

تعبان ; Tired (slang)
1. أنا تعبان ; I am tired.
2. تعبان جدًا من العمل ; I am very tired from work.
3. هل يمكنني الجلوس للراحة؟ أنا تعبان ; Can I sit down to rest? I am tired.

وإنت ; And you? (slang)
1. كيف حالك؟ وإنت؟ ; How are you? And you?
2. أنا بخير، وإنت؟ ; I am fine, and you?
3. وإنت، كيف تشعر؟ ; And you, how do you feel?

صباح ; Morning
1. صباح الخير ; Good morning.
2. أحب صباح الأحد ; I love Sunday morning.
3. صباح جميل ; Beautiful morning.

الخير ; Good (masculine)
1. هذا هو الخير ; This is the good.
2. العمل الجيد يتطلب وقتًا ; Good work takes time.
3. أريد أن أفعل شيئًا جيدًا ; I want to do something good.

يقفل ; He closes (slang)
1. هو يقفل الباب ; He closes the door.
2. هل يقفل النافذة؟ ; Does he close the window?
3. يقفل المتجر في الليل ; He closes the store at night.

بيقفل ; He closes (slang)
1. هو بيقفل الباب ; He closes the door.
2. هل هو بيقفل النافذة؟ ; Does he close the window?
3. بيقفل المتجر في الليل ; He closes the store at night.

إمتى ; When (slang)
1. إمتى ستعود؟ ; When will you come back?
2. إمتى تخرج؟ ; When will you graduate?
3. إمتى سنلتقي مرة أخرى؟ ; When will we meet again?

كليف ; Homework (slang)
1. عندي كليف ; I have homework.
2. هل أنت مستعد لعمل الكليف؟ ; Are you ready to do the homework?
3. عليك أن تنهي الكليف قبل الموعد ; You have to finish the homework before the deadline.

تكليف ; Homework
1. عندي تكليف ; I have homework.
2. هل أنت مستعد لعمل التكليف؟ ; Are you ready to do the homework?
3. عليك أن تنهي التكليف قبل الموعد ; You have to finish the homework before the deadline.

هتروح ; You will go (slang)
1. هتروح المدرسة غدًا؟ ; Will you go to school tomorrow?
2. هتروح إلى العمل اليوم؟ ; Will you go to work today?
3. هتروح الى المدينة؟ ; Will you go to the city?
